City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,singkil,-7.9855,111.4161,24.48,93,100,1.11,ID,1710536114
83,suva,-18.1416,178.4415,25.71,94,75,1.03,FJ,1710535939
84,brisas de zicatela,15.8369,-97.0419,29.37,58,3,4.9,MX,1710536117
85,altay,47.8667,88.1167,-15.71,66,28,3.83,CN,1710536118
86,harstad,68.799,16.5293,-0.34,92,94,12.52,NO,1710535879
87,dehloran,32.6941,47.2679,18.04,75,100,3.56,IR,1710536121
88,kindu,-2.95,25.95,21.1,99,100,0.69,CD,1710536122
89,nicoya,10.1483,-85.452,34.17,43,87,3.59,CR,1710536124
90,al qusayr,34.5091,36.5798,9.64,70,0,0.76,SY,1710536126
91,sihanoukville,10.6093,103.5296,25.97,83,40,2.06,KH,1710536128
92,dhuri,30.3667,75.8667,12.47,21,0,2.56,IN,1710536129
93,papatowai,-46.5619,169.4708,8.71,85,97,5.9,NZ,1710536131
94,gamba,-2.65,10.0,27.26,87,75,2.13,GA,1710536132
95,anna regina,7.2644,-58.5077,28.12,72,18,4.38,GY,1710536134
96,kumhari,21.2667,81.5167,25.02,20,44,3.76,IN,1710536136
97,pearsall,28.8922,-99.095,26.66,67,41,9.12,US,1710536137
98,sriperumbudur,12.9689,79.9489,27.82,91,5,2.22,IN,1710536139
99,serov,59.6033,60.5787,-0.2,88,99,4.4,RU,1710536104
100,karlovo,42.6333,24.8,5.67,86,100,1.47,BG,1710536142
101,leava,-14.3,-178.1667,29.24,77,100,5.92,WF,1710536143
102,goulburn,-34.75,149.7167,11.55,98,37,0.89,AU,1710536145
103,sao joao da barra,-21.6403,-41.0511,29.05,89,6,5.69,BR,1710536147
104,ponta delgada,37.7333,-25.6667,18.44,94,20,6.69,PT,1710535853
105,akureyri,65.6835,-18.0878,-3.04,86,75,1.54,IS,1710536149
106,weston,26.1004,-80.3998,29.45,62,22,1.79,US,1710536132
107,bozoum,6.3193,16.3799,26.42,54,100,1.76,CF,1710536151
108,cadale,2.7603,46.3222,27.93,74,21,7.64,SO,1710536152
109,bilibino,68.0546,166.4372,-16.16,87,100,1.67,RU,1710536155
110,sisimiut,66.9395,-53.6735,-12.15,82,12,3.77,GL,1710536157
111,kismayo,-0.3582,42.5454,27.9,67,7,5.59,SO,1710536158
112,nouadhibou,20.931,-17.0347,19.24,79,0,9.12,MR,1710536159
113,dauphin,51.1494,-100.0502,4.08,75,75,10.8,CA,1710536161
114,okene,7.5981,6.2318,30.44,52,80,1.85,NG,1710536161
115,touros,-5.1989,-35.4608,27.82,81,99,4.12,BR,1710536164
116,san luis de la loma,17.2706,-100.8939,28.89,59,35,5.49,MX,1710536166
117,bandon,51.7469,-8.7425,8.77,83,100,1.01,IE,1710536168
118,port mathurin,-19.6833,63.4167,26.24,69,73,8.63,MU,1710536169
119,tromso,69.6496,18.957,-1.99,59,75,6.17,NO,1710536171
120,kapuskasing,49.4169,-82.4331,3.05,52,40,2.06,CA,1710536172
121,boysun,38.2061,67.1986,3.91,39,0,2.9,UZ,1710536174
122,almazan,41.4865,-2.5309,10.38,88,100,1.57,ES,1710536176
123,siemiatycze,52.4272,22.8623,5.54,76,100,4.72,PL,1710536179
124,vilhena,-12.7406,-60.1458,26.12,83,40,6.17,BR,1710536181
125,haiku-pauwela,20.9219,-156.3051,22.32,91,97,2.68,US,1710536183
126,jianshui,23.6363,102.8264,15.19,50,0,2.34,CN,1710536184
127,tazovsky,67.4667,78.7,-11.89,93,100,8.82,RU,1710536186
128,tulum,20.2167,-87.4667,29.32,63,99,4.02,MX,1710536191
129,ribeira grande,38.5167,-28.7,17.22,72,40,9.26,PT,1710536192
130,gaspe,48.8334,-64.4819,2.12,87,100,2.06,CA,1710536194
131,lihue,21.9789,-159.3672,22.98,54,92,3.18,US,1710536196
132,myrina,39.8797,25.0742,12.02,62,5,1.91,GR,1710536197
133,port elizabeth,-33.918,25.5701,22.4,69,0,9.26,ZA,1710536045
134,sitangkai,4.6628,119.3928,26.96,80,34,2.87,PH,1710536200
135,georgetown,5.4112,100.3354,27.96,82,20,2.57,MY,1710535905
136,college,64.8569,-147.8028,-12.18,62,89,1.2,US,1710536205
137,eraan,9.0629,117.7016,25.82,75,100,1.94,PH,1710536206
138,kalmunai,7.4167,81.8167,24.91,85,21,2.31,LK,1710536208
139,kristiansund,63.1115,7.732,3.03,87,100,9.26,NO,1710535997
140,adrar,20.5022,-10.0711,26.38,13,0,4.16,MR,1710536211
141,broome,42.2506,-75.833,7.61,90,100,1.79,US,1710536212
142,mount gambier,-37.8333,140.7667,14.45,75,25,2.44,AU,1710536214
143,kirkwood,38.5834,-90.4068,17.38,48,92,2.68,US,1710536216
144,kongsvinger,60.1905,11.9977,1.37,100,100,0.14,NO,1710536217
145,waajid,3.8096,43.2463,27.99,40,0,5.34,SO,1710536219
146,saipan,15.1355,145.701,26.47,100,89,4.92,MP,1710536221
147,muricay,7.8275,123.4782,23.51,89,100,2.18,PH,1710536222
148,talcahuano,-36.7167,-73.1167,19.82,45,0,8.75,CL,1710536223
149,quelimane,-17.8786,36.8883,28.97,88,40,2.46,MZ,1710536225
150,fale old settlement,-9.3852,-171.2468,29.26,76,9,5.46,TK,1710536227
151,wailua homesteads,22.0669,-159.378,22.64,54,82,3.13,US,1710536228
152,nova sintra,14.8667,-24.7167,23.85,78,0,8.42,CV,1710536230
153,holualoa,19.6228,-155.9522,24.75,79,49,1.79,US,1710536233
154,ancud,-41.8697,-73.8203,13.76,84,83,5.86,CL,1710536235
155,saldanha,-33.0117,17.9442,17.03,87,22,2.19,ZA,1710536236
156,mata-utu,-13.2816,-176.1745,29.78,71,90,5.74,WF,1710536238
157,brookings,44.3114,-96.7984,10.25,49,32,1.34,US,1710536241
158,inhambane,-23.865,35.3833,25.01,86,7,2.94,MZ,1710535956
159,crane,31.3974,-102.3501,14.24,60,100,7.15,US,1710536244
160,cabo san lucas,22.8909,-109.9124,27.01,51,0,1.79,MX,1710536246
161,xindi,29.8167,113.4667,14.97,91,100,0.69,CN,1710536247
162,atafu village,-8.5421,-172.5159,29.44,74,15,5.16,TK,1710536249
163,khandyga,62.6667,135.6,-26.15,100,100,0.83,RU,1710536250
164,emerald,-23.5333,148.1667,20.75,85,1,3.09,AU,1710536252
165,weno,7.4515,151.8468,27.36,84,94,7.98,FM,1710536253
166,cockburn town,21.4612,-71.1419,24.98,76,100,8.99,TC,1710536254
167,nemuro,43.3236,145.575,-2.15,63,44,6.35,JP,1710536256
168,hanceville,34.0607,-86.7675,21.76,79,100,3.49,US,1710536257
169,sheregesh,52.9209,87.9869,-8.91,97,100,1.78,RU,1710536230
170,kodiak,57.79,-152.4072,-1.27,93,100,4.63,US,1710536260
171,skagen,57.7209,10.5839,6.73,96,100,6.47,DK,1710536262
172,nar'yan-mar,67.6713,53.087,-2.72,91,100,10.28,RU,1710536015
173,dudinka,69.4058,86.1778,-19.66,92,100,7.37,RU,1710536265
174,idabel,33.8957,-94.8263,19.93,84,96,3.09,US,1710536267
175,xilin hot,43.9667,116.0333,6.13,59,100,11.43,CN,1710536268
176,tolanaro,-25.0319,46.9987,26.04,89,20,3.09,MG,1710536269
177,igrim,63.1906,64.4162,1.51,88,100,5.98,RU,1710536271
178,padangsidempuan,1.3667,99.2667,21.51,98,100,0.63,ID,1710536273
179,siyabuswa,-25.1132,29.0445,21.87,71,59,4.79,ZA,1710536274
180,alofi,-19.0595,-169.9187,28.94,84,100,2.57,NU,1710536276
181,arenapolis,-14.4503,-56.8461,30.15,63,100,0.82,BR,1710536278
182,talnakh,69.4865,88.3972,-19.89,94,99,5.75,RU,1710536279
183,longyearbyen,78.2186,15.6401,-23.09,59,0,3.6,SJ,1710536281
184,north shore,-36.8,174.75,18.0,67,5,5.36,NZ,1710536282
185,rudsar,37.1376,50.288,11.99,78,60,0.18,IR,1710536284
186,roghun,38.7826,69.8708,-7.31,63,46,3.83,TJ,1710536286
187,catio,11.2833,-15.25,25.57,69,0,3.66,GW,1710536287
188,wanning,18.8003,110.3967,22.28,96,9,2.48,CN,1710536289
189,vorgashor,67.5833,63.95,-4.19,95,100,6.44,RU,1710536291
190,nuuk,64.1835,-51.7216,-11.62,85,63,1.66,GL,1710536293
191,coahuayana de hidalgo,18.7,-103.6583,31.06,43,4,3.39,MX,1710536294
192,lebu,-37.6167,-73.65,16.1,63,0,5.15,CL,1710536296
193,punta arenas,-53.15,-70.9167,9.01,46,40,12.86,CL,1710536144
194,luninyets,52.2472,26.8047,4.82,81,10,3.36,BY,1710536300
195,sos'va,59.1766,61.8558,-0.53,87,100,5.36,RU,1710536302
196,choibalsan,48.0667,114.5,-9.1,94,100,8.39,MN,1710536303
197,kailua-kona,19.6406,-155.9956,26.82,79,47,1.79,US,1710536306
198,yaren,-0.5472,166.916,28.25,80,100,5.22,NR,1710536307
199,clearwater,27.9659,-82.8001,30.06,73,0,3.6,US,1710536309
200,ujae,8.9322,165.7642,27.19,79,100,7.84,MH,1710536311
201,nova xavantina,-14.6667,-52.35,28.29,79,87,1.59,BR,1710536312
